Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Population,Churn_Binary,City_Target_Encoded,PaymentMethod_Freq_Encoded,Monthly_To_Tenure_Ratio,Revenue_Per_Capita_Index,Tenure_Years,Tenure_Cohort,Tenure in Months_Scaled,Monthly Charge_Scaled,City_Target_Encoded_Scaled,Monthly_To_Tenure_Ratio_Scaled
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9,,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,,,4498.0,0,0.125,0.38971544128268093,6.56,0.2166725939097577,0.75,0-1 Yr,-0.9549407310768587,0.026826754292851442,-0.7151231787803043,0.10002374653575549
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,62069.0,1,0.375,0.5556839520439116,14.780000000000001,0.0066932495569518285,0.3333333333333333,0-1 Yr,-1.1587076503180511,0.3025235029172387,0.55610490356558,1.0599951783296715
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,46677.0,1,0.6666666666666666,0.5556839520439116,7.0,0.034266892326149365,1.0833333333333333,1-2 Yrs,-0.7919271956839048,1.1030405682000968,2.039204332969111,0.15140907865124495
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,42853.0,1,0.5,0.38971544128268093,20.975,0.006756428804779018,0.25,0-1 Yr,-1.1994610341662895,0.634688260296018,1.1917189447385221,1.783477297546619
0013-MHZWF,Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,Stayed,,,433.0,0,0.0,0.38971544128268093,6.94,1.6644700460829494,0.75,0-1 Yr,-0.9549407310768587,0.153049362096788,-1.3507372199532464,0.1444019879082237
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,,,6165.0,0,0.5,0.5556839520439116,1.5236111111111112,1.3965958481998053,5.916666666666667,4+ Yrs,1.5717690675139262,1.4916733343332687,1.1917189447385221,-0.48815015282405416
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,Stayed,,,63947.0,0,0.375,0.38971544128268093,1.32265625,0.09717708137862012,5.25,4+ Yrs,1.2457419967280186,0.6596006170994265,0.55610490356558,-0.5116186352750007
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,,,49027.0,0,0.125,0.5556839520439116,6.025,0.008445378151260504,0.5833333333333334,0-1 Yr,-1.0364474987733356,-0.5511399235462243,-0.7151231787803043,0.03754385407714913
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65,,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,Stayed,,,1219.0,0,0.25,0.38971544128268093,1.3704545454545456,6.399836065573771,5.416666666666667,4+ Yrs,1.3272487644244955,0.8522561763791184,-0.07950913760736215,-0.5060365187148049
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,,No,0.0,,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,,,1072.0,0,0.0,0.38971544128268093,0.8218181818181819,2.2931500465983228,4.5,4+ Yrs,0.8789615420938723,-0.6507893507598581,-1.3507372199532464,-0.5701089317968253
